date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:28:57	118/118	---MCZ	200	added ('OK')	text/plain	etag:%221359-1744962984;gz%22	https://nhstayside.foundation/robots.txt		(from )
17:28:58	236456/236456	---M-Z	200	added ('OK')	text/html	etag:%221945-1745140302;gz%22	https://nhstayside.foundation/	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/index.html	(from )
17:28:59	75965/75965	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Mar%202025%2004:38:45%20GMT	https://nhstayside.foundation/wp-content/litespeed/ucss/e6a5c80b27d96983ba785343d8dc12f6.css?ver=25cf2	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/wp-content/litespeed/ucss/e6a5c80b27d96983ba785343d8dc12f64c8a.css	(from https://nhstayside.foundation/)
17:29:00	480674/480674	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2015:20:38%20GMT	https://nhstayside.foundation/wp-content/uploads/2023/11/WebCover-Desktop-Recovered-2.jpg	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/wp-content/uploads/2023/11/WebCover-Desktop-Recovered-2.jpg	(from https://nhstayside.foundation/)
17:29:00	1353/1353	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2008%20Apr%202025%2020:50:41%20GMT	https://nhstayside.foundation/wp-content/plugins/litespeed-cache/assets/js/css_async.min.js	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/wp-content/plugins/litespeed-cache/assets/js/css_async.min.js	(from https://nhstayside.foundation/)
17:29:01	43067/43067	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Nov%202024%2016:33:15%20GMT	https://nhstayside.foundation/wp-content/uploads/2024/11/Untitled-design-1-09.17.32.png	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/wp-content/uploads/2024/11/Untitled-design-1-09.17.32.png	(from https://nhstayside.foundation/)
17:29:02	37869/37869	---M--	200	added ('OK')	application/rss+xml	etag:%22e3c43759cff371ecf2860451fe52c60e%22	https://nhstayside.foundation/feed/	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/feed/index.html	(from https://nhstayside.foundation/)
17:29:02	773/773	---M--	200	added ('OK')	application/rss+xml	etag:%22e3c43759cff371ecf2860451fe52c60e%22	https://nhstayside.foundation/comments/feed/	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/comments/feed/index.html	(from https://nhstayside.foundation/)
17:29:04	281733/281733	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Nov%202024%2014:08:21%20GMT	https://nhstayside.foundation/wp-content/uploads/2024/11/SFW-iStock-1688412438.jpg	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/wp-content/uploads/2024/11/SFW-iStock-1688412438.jpg	(from https://nhstayside.foundation/)
17:29:04	181688/181688	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2014:51:30%20GMT	https://nhstayside.foundation/wp-content/uploads/2023/10/SMac_Art_Community_Hospital_Crieff_52728488-2xok2bs69-1536x1024-1.jpg	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/wp-content/uploads/2023/10/SMac_Art_Community_Hospital_Crieff_52728488-2xok2bs69-1536x1024-1.jpg	(from https://nhstayside.foundation/)
17:29:05	307314/307314	---M-Z	200	added ('OK')	application/json	etag:%221948-1745140348;gz%22	https://nhstayside.foundation/wp-json/	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/wp-json/index.html	(from https://nhstayside.foundation/)
17:29:06	73399/73399	---MCZ	200	added ('OK')	application/json	date:Sun,%2020%20Apr%202025%2016:29:05%20GMT	https://nhstayside.foundation/wp-json/wp/v2/pages/44	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/wp-json/wp/v2/pages/44.json	(from https://nhstayside.foundation/)
17:29:06	840/840	---M--	200	added ('OK')	text/xml	date:Sun,%2020%20Apr%202025%2016:29:06%20GMT	https://nhstayside.foundation/xmlrpc.php?rsd	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/xmlrpc0db0.php	(from https://nhstayside.foundation/)
17:29:07	2003/2003	---M-Z	200	added ('OK')	application/json	etag:%221758-1744989986;gz%22	https://nhstayside.foundation/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnhstayside.foundation%2F	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/wp-json/oembed/1.0/embedf52f.json	(from https://nhstayside.foundation/)
17:29:08	2151/2151	---M--	200	added ('OK')	text/xml	etag:%221947-1745140335;;;%22	https://nhstayside.foundation/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnhstayside.foundation%2F&format=xml	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/wp-json/oembed/1.0/embedf85d	(from https://nhstayside.foundation/)
17:29:09	5577/5577	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Feb%202024%2015:20:38%20GMT	https://nhstayside.foundation/wp-content/uploads/2023/10/NHSTCF-Icon-FAVICON-150x150.png	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/wp-content/uploads/2023/10/NHSTCF-Icon-FAVICON-150x150.png	(from https://nhstayside.foundation/)
17:29:10	12747/12747	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Feb%202024%2015:20:38%20GMT	https://nhstayside.foundation/wp-content/uploads/2023/10/NHSTCF-Icon-FAVICON-300x300.png	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/wp-content/uploads/2023/10/NHSTCF-Icon-FAVICON-300x300.png	(from https://nhstayside.foundation/)
17:29:12	233863/233863	---M-Z	200	added ('OK')	text/html	etag:%221693-1744984723;gz%22	https://nhstayside.foundation/contact-us/	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/contact-us/index.html	(from https://nhstayside.foundation/)
17:29:12	389058/389058	---M-Z	200	added ('OK')	text/html	etag:%221946-1745140316;gz%22	https://nhstayside.foundation/call-and-deliver/	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/call-and-deliver/index.html	(from https://nhstayside.foundation/)
17:29:12	213371/213371	---M-Z	200	added ('OK')	text/html	etag:%221915-1745011088;gz%22	https://nhstayside.foundation/faqs/	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/faqs/index.html	(from https://nhstayside.foundation/)
17:29:12	2737431/2737431	---M--	200	added ('OK')	application/pdf	date:Fri,%2023%20Aug%202024%2011:25:20%20GMT	https://nhstayside.foundation/wp-content/uploads/2024/08/NHSTCF-AnnualReport-WEB.pdf	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/wp-content/uploads/2024/08/NHSTCF-AnnualReport-WEB.pdf	(from https://nhstayside.foundation/)
17:29:14	313502/313502	---MCZ	200	added ('OK')	text/html	etag:%221808-1744994383;gz%22	https://nhstayside.foundation/about-us/	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/about-us/index.html	(from https://nhstayside.foundation/)
17:29:14	290717/290717	---M-Z	200	added ('OK')	text/html	etag:%221916-1745011088;gz%22	https://nhstayside.foundation/ways-to-support/	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/ways-to-support/index.html	(from https://nhstayside.foundation/)
17:29:14	222004/222004	---M-Z	200	added ('OK')	text/html	etag:%221919-1745011091;gz%22	https://nhstayside.foundation/gift-shop-hub/	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/gift-shop-hub/index.html	(from https://nhstayside.foundation/)
17:29:14	2074614/2074614	---M--	200	added ('OK')	application/pdf	date:Fri,%2016%20Feb%202024%2014:51:30%20GMT	https://nhstayside.foundation/wp-content/uploads/2024/01/NHSTCF-DPIA-2023.pdf	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/wp-content/uploads/2024/01/NHSTCF-DPIA-2023.pdf	(from https://nhstayside.foundation/)
17:29:16	266316/266316	---MCZ	200	added ('OK')	text/html	etag:%221439-1744974693;gz%22	https://nhstayside.foundation/apply-for-funding/	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/apply-for-funding/index.html	(from https://nhstayside.foundation/)
17:29:16	309405/309405	---M-Z	200	added ('OK')	text/html	etag:%221542-1744980873;gz%22	https://nhstayside.foundation/fundraising/	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/fundraising/index.html	(from https://nhstayside.foundation/)
17:29:16	234207/234207	---M-Z	200	added ('OK')	text/html	etag:%221917-1745011089;gz%22	https://nhstayside.foundation/sponsorship-packages/	'/Users/murad/Desktop/NHStyside%20Clone'/nhschatbot/nhstayside.foundation/sponsorship-packages/index.html	(from https://nhstayside.foundation/)
